item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
Q45068266,理工大学站,,Chengdu University of Technology Station,成都地铁7号线和8号线换乘车站,,"metro station in Chenghua, Chengdu"
Q10851707,Moment to Moment,,Moment to Moment,香港歌手林志美的第3張翻唱專輯,,3rd album of Hong Kong singer Samantha Lam Chi Mei
Q719149,滨涡正志,,Masashi Hamauzu,,,Japanese composer and pianist
Q941349,肖恩·埃利奥特,,Sean Elliott,美国篮球运动员,,American basketball player
Q2334168,汉克·芬克尔,,Hank Finkel,美国篮球运动员,,American basketball player
Q2567482,阿多纳尔·福耶尔,,Adonal Foyle,,,American basketball player
Q3776411,格雷格·格兰特,,Greg Grant,美国篮球运动员,,American professional basketball player
Q1700281,约翰·格雷格,,John Greig,,,Scottish footballer
Q924857,莱恩·戈麦斯,,Ryan Gomes,美国篮球运动员,,American basketball player
Q941813,迪·吉布森,,Dee Gibson,,,American basketball player
Q3718845,艾德·盖达,,Ed Gayda,,,American professional basketball player
Q3973346,史蒂夫·亨森,,Steve Henson,美国篮球运动员,,American basketball player-coach
Q9213342,多邊形二面體,Диэдр,polygonal dihedron,,,polyhedron made of two polygon faces which share the same set of edges
Q16888622,濛河分洪道,,,,,
Q2415540,德怀特·琼斯,,Dwight Jones,,,American basketball player (1952-2016)
Q250772,奧維亞奇克湖,,Álvaro Obregón Dam,,,"dam in Sonora, Mexico"
Q1342300,马克·杰克逊,,Mark Jackson,美国篮球运动员,,American basketball player and coach
Q9214446,杨福刚,,,,,Chinese politician
Q18658469,蝦龍糊,,lobster sauce,,,"type of sauce used in American-Chinese and Canadian-Chinese cuisine, made of chicken broth, garlic, ginger, fermented black beans, eggs, and cornstarch; does not contain any lobster, despite the name"
Q3335602,南希·羅曼,,Nancy Roman,美国天文学家,,American astronomer and principal in the Hubble Space Telescope project
Q2437317,寬胸癩頸龜屬,,Myuchelys,,,genus of reptiles
Q846093,義大利-阿爾巴尼亞禮天主教會,,Italo-Albanian Catholic Church,,,eastern Catholic particular church which uses the Byzantine Rite
Q9142683,戈教·洛绒绕吉云登嘉措,,,,,
Q1386851,希薩鑷麗魚,,Labidochromis chisumulae,,,species of fish
Q576580,维尔萨克,Вирсак,Virsac,法国吉伦特省市镇,,"commune in Gironde, France"
Q92779,英格·蒙內,,Ingo Molnár,,,Linux kernel programmer
Q10845911,2013年世界棒球經典賽加拿大代表隊,,Canada at the 2013 World Baseball Classic,,,
Q45639354,汪鑑,,Wang Jian,,,Ming dynasty person CBDB = 260939
Q15950395,甘江河,,,,,watercourse in People's Republic of China
Q907933,安道爾·圖威,,Endel Tulving,,,Estonian-Canadian psychologist and neuroscientist
Q7113294,黄高明,,Ong Kow Meng,马来西亚政治人物,,Malaysian politician
Q16264191,伊藤寧寧,,Nene Itō,,,"Japanese actress, former Nogizaka46 member"
Q16903357,解狐,,,,,
Q643081,努埃維塔斯,,Nuevitas,,,port town and municipality in Cuba
Q17009205,解張,,,,,
Q1332168,馬希瓦科阿,,Majibacoa,,,city in Cuba
Q10869356,东三省总督府,,,,,
Q410172,副作用 (消歧義),,Side effect,維基媒體消歧義頁,,Wikimedia disambiguation page
Q13870098,南辰乡,,Nanchen Township,,,
Q766271,硬叶林,Склерофиттер,sclerophyll,,,"type of vegetation that has hard leaves, short internodes and leaf orientation parallel or oblique to direct sunlight"
Q343055,大卫·哈维,Дэвид Харви,David Harvey,,,British geographer and anthropologist
Q679173,亞斯蒙德國家公園,,Jasmund National Park,,,Nature reserve in Germany
Q2623744,以色列装甲部队纪念馆,,Yad La-Shiryon,,,"military museum in Latrun, Israel"
Q77719,扎比内·比朔夫,,Sabine Bischoff,,,German fencer
Q10871892,中刚友谊小学,,,,,
Q1080961,DCE分散式檔案系統,,DCE Distributed File System,,,defunct IBM file system project
Q10928361,地球馆,,,,,
Q9458545,黃昕瑜,,Wong Yan Yu,,,Hong Kong voice actress
Q3772377,多軸飛行器,,multirotor,,,rotorcraft with more than two rotors
Q11579297,白色氣息,,,,,2004 single by Chemistry
Q8364327,雷腾龙,,Lei Tenglong,,,Chinese footballer
Q3492639,阿馬蒂克灣,,Amatique Bay,,,"Bay of the Gulf of Honduras, Belize, Guatemala"
Q1468689,科科河,,Coco River,,,River (Nicaragua & Honduras)
Q14928347,独孤藏,,Dugu Cang,,,
Q9319724,栗翠田,,,,,
Q9120814,吴野松,,,,,Chinese politician
Q9120729,吴清海,,Wu Qinghai,中华人民共和国政治人物,,Chinese politician
Q9106025,余瑞玉,,,,,
Q9359701,金锋,,,,,
Q9208560,李科平,,Li Keping,中华人民共和国政治人物,,Chinese politician
Q111239628,藤原公子,,,,,
Q9365513,陈笑华,,Chen Xiaohua,中华人民共和国政治人物,,Chinese politician
Q4315540,我童年的天空,Балалық шағымның аспаны,The Sky of My Childhood,,,2011 film by Rustem Abdrashev
Q45493836,李霞,,Li Xia,,,Tang dynasty person CBDB = 140732
Q11181400,龙泉寺 (南京),,Longquan Temple in Nanjing,,,building in China
Q10894904,再处理铀,,reprocessed uranium,,,uranium recovered from nuclear fuel reprocessing
Q11145196,泰赣高速公路,,,,,
Q177600,简笔人物画,,stick figure,,,simple drawing of a person or animal
Q11076610,护国寺大院,,,,,
Q427415,貝爾尼納山脈,,Bernina Range,,,mountain range
Q828781,高斯號,,Gauss,,,ship
Q689073,古滕施泰因阿爾卑斯山脈,,Gutenstein Alps,,,mountain range of the Austrian Alps
Q668259,施拉德明陶恩山脈,,Schladming Tauern,,,mountain range of the Austrian Alps
Q5712285,铁杉树丛,,Hemlock Grove,美国Netflix推出的电视剧,,2013 American horror thriller television series
Q16908255,高亚飞,,Gao Yafei,中华人民共和国政治人物,,Chinese politician
Q4390412,2013年阿拉斯加地震,,2013 Craig earthquake,,,Supershear earthquake in Alaska and British Columbia
Q16906320,白泉民,,,,,Chinese politician
Q10897884,刘绍英,,Liu Shaoying,中华人民共和国政治人物,,Chinese politician
Q856722,拜伯里,,Bibury,,,"village and civil parish in Gloucestershire, England"
Q11063339,庞国梅,,,,,Chinese politician
Q11153094,深圳希瑪林順潮眼科醫院,,C-MER (Shenzhen) Dennis Lam Eye Hospital,,,hospital in China
Q16906635,肖莺子,,Xiao Yingzi,,,Chinese politician
Q124222736,林美娟,,Lin May-jen,臺灣國中校長,,Taiwanese President of Junior High  School
Q10886430,何金平,,He Jinping,中华人民共和国政治人物,,Chinese politician
Q11114072,梁文同,,Liang Wentong,,,
Q11114360,梁胜利,,Liang Shengli,,,Chinese politician
Q11066691,张国富,,Zhang Guofu,中华人民共和国政治人物,,Chinese politician
Q16907813,陈东登,,,,,
Q11080764,斯尔江·托合提木拉提,,Sırjan Toqtımurat,,,Chinese politician
Q808291,東巴克利,,Barkly East,,,town in South Africa
Q12687465,哈米达奥斯曼,,Hamidah Osman,馬來西亞政治人物,,Malaysian politician
Q11091526,曾敏凯,,Chan Ming Kai,马来西亚政治人物,,politician
Q1043824,卡迈恩·因凡蒂诺,,Carmine Infantino,美国漫画家（1925－2013）,,American comic book artist (1925-2013)
Q10730187,中井英夫,,Hideo Nakai,,,Japanese writer and novelist
Q2073877,高田正夫,,Masao Takada,日本足球運動員,,Japanese association football player
Q13669493,海河教育园区,,Haihe Education Park,,,
Q16905718,潘锋,,,,,Chinese politician
Q10897674,刘树成,,Liu Shucheng,,,Chinese economist and politician
Q2432081,黑王子步兵戰車,,Black Prince,,,development of the Churchill tank
Q11100245,杨健强,,,,,
Q50633841,唐健,,Jian Tang,中华人民共和国物理化学家,,Chinese  physical chemist at Okayama University
Q16907708,钮小明,,,,,
Q10898106,刘鸿庥,,Liu Hongxiu,中华人民共和国政治人物,,Chinese politician
Q11100247,杨先明,,,,,
Q16908200,马学平,,Ma Xueping,中华人民共和国政治人物,,Chinese politician
Q16908189,马军胜,,Ma Junsheng,,,Chinese politician
Q2535741,淺岡朝泰,,Tomoyasu Asaoka,日本足球運動員,,Japanese association football player
Q1307114,黄翅蜻属,,Brachythemis,,,taxon
Q3575275,过零率,,zero-crossing rate,,,
Q11108353,柏翠里,,Bocui Village,中華民國新北市板橋區轄下一里行政區,,"Village in Banqiao District, New Taipei City, Taiwan"
Q6528127,紫岩蟹,,Leptograpsus variegatus,,,species of crustacean
Q7691647,光之舞,,iLuminate,,,"iLuminate is an American theatrical and technology company based in New York, New York, USA best known for competing in the sixth season of America's Got Talent."
Q844273,欧文·G·托尔伯格纪念奖,,Irving G. Thalberg Memorial Award,,,award
Q3565008,蟲奉行,,Mushibugyō,日本漫畫,,Japanese manga series
Q10904255,龍城府大夫人,,Yongseong Budaebuin,,,Grand Internal Princess Consort of Joseon
Q5520736,尖吻柔麗鯛,,Placidochromis acutirostris,,,species of fish
Q11485240,尹多勳,,Yoon Da-hun,,,South Korean actor
Q838740,非洲岩鼠,,Dassie rat,哺乳动物物种,,species of mammal
Q11080927,新世界百貨,,New World Department Store China Limited,香港的零售业公司,,
Q1998544,瓢蟹總科,,Carpilioidea,,,superfamily of crabs
Q29245784,虛空,,The Void,,,2016 film directed by Steven Kostanski and Jeremy Gillespie
Q17028767,清华园浴池,,,,,
Q3318273,波爾柔麗鯛,,Placidochromis polli,,,species of fish
Q5183601,八點灰燈蛾,,Creatonotos transiens,灯蛾科灰灯蛾属昆虫,,species of insect
Q543717,漢卡薩爾米,,Hankasalmi,,,municipality in the region of Central Finland
Q3933628,筐形蟹属,,Mursia,,,genus of crustaceans
Q728488,黑夜幽灵,,The Ghost and the Darkness,1996年首映的美国电影,,Historical adventure film
Q12058137,IAU通報,,IAU Circular,,,notices on astronomical phenomena
Q1364269,2015年非洲國家盃,Африка Ұлттары Кубогы 2015,2015 Africa Cup of Nations,非洲足球冠軍,,football championship of Africa
Q999230,穆爾蒂亞,,Multia,,,municipality in the region of Central Finland
Q984938,薩武科斯基,,Savukoski,,,municipality in the region of Lapland in Finland
Q17038499,石曼姑,,,,,
Q339740,1993年世界乒乓球錦標賽,,1993 World Table Tennis Championships,,,1993 edition of the World Table Tennis Championships
Q12846123,耐心,,patience,花费很多时间 完成 有件事,,Christian virtue
Q835490,我完全奉献,,Ich hab' mich ergeben,联邦德国非正式国歌,,National anthem of West Germany (1949-50)
Q7798644,西貢河隧道,,Saigon River Tunnel,,,tunnel in Ho Chi Minh city
Q725313,霍克西德利鷂式戰鬥機,,Harrier 1st Generation,,,"ground attack aircraft series by Hawker Siddeley, later British Aerospace"
Q15921373,蒙古山水地圖,,Landscape Map of the Silk Road,,,
Q548756,累退稅,,regressive tax,随纳税人收入和财富的增加而实际税率逐步递减的税制,,tax imposed in such a manner that the tax rate decreases as the amount subject to taxation increases
Q3679864,莫斯科大清真寺,Мәскеу мешіті,Moscow Cathedral Mosque,,,mosque in Moscow
Q1834809,平底船枪,,Punt gun,,,extremely large shotgun used for the market hunting of waterfowl
Q16510,埃納雷斯河,,Henares river,西班牙河流,,river in Spain
Q15954421,封祯,,,,,
Q12244175,拉達戰鬥,,Battle of Radda,,,al-Qaeda Military Campaign against the Yemenese Army
Q12955961,當然SKE!!,,MochironSKE!!,,,
Q11588750,神元帝,,,维基媒体消歧义页,,Wikimedia disambiguation page
Q15927785,馬蘭閨,,"Rankei, Kimitoyomi Ajiganashi",,,spouse of Shō Hō
Q15941633,石龍拱,,Shek Lung Kung,,,
Q16888705,石安河,,,,,watercourse in People's Republic of China
Q3375714,摩根敦个人快速运输,,Morgantown Personal Rapid Transit,交通设施,,"personal rapid transit system in Morgantown, West Virginia"
Q562295,阿爾伯河,,Alb,,,tributary to Rhine river
Q13108147,泰赫爾戰鬥,,Battle of Tigharghar,,,2013 Islamists rebels ambush of Chadian soldiers in the Adrar des Ifoghas mountains
Q1407429,超距作用,Жақыннан әсер ету,action at a distance,,,nonlocal causation: the concept that an object can be directly influenced by one that is not adjacent in space
Q15465024,平準官,,,,,
Q15945033,陆学艺,,Lu Xueyi,中国社会学家（1933—2013）,,Chinese sociologist (1933-2013)
Q17033300,萧萐父,,,,,
Q1442915,來路不明的火車,,Le Train de Nulle Part,,,book
Q1881062,法國電視六台,,M6,,,French TV channel
Q6604882,冬天的骨头获奖列表,,list of accolades received by Winter's Bone,維基媒體列表條目,,Wikimedia list article
Q1704342,好色客杂志诉法威尔案,,Hustler Magazine v. Falwell,,,1988 United States Supreme Court case
Q13233410,Android Studio,,Android Studio,Adnroid平台的整合開發環境,,integrated development environment for the Android platform
Q1187868,智能天线,,smart antenna,,,antenna arrays with smart signal processing algorithms
Q15942988,一里坪干盐湖,,,,,lake in People's Republic of China
Q5451844,萤火虫算法,,Firefly algorithm,,,"in mathematical optimization, a metaheuristic proposed by Xin-She Yang"
Q15907668,莫朝君主世系圖,,,,,
Q4497421,黑河 (緬甸),,Heho,,,"town in Shan State, Burma"
Q308925,尤尔根·科勒尔,Юрген Колер,Jürgen Kohler,德國足球運動員,,German footballer
Q3068508,无动力制冷,,passive cooling,,,any cooling method that facilitates heat dissipation without additional energy input
Q18235240,电子阅览室,,,,,
Q15904462,洪仲清,,,,,
Q3033696,截半大十二面體,,dodecadodecahedron,,,polyhedron with 24 faces
Q900984,埃斯布利,Ебли,Esbly,法国塞纳-马恩省市镇,,"commune in Seine-et-Marne, France"
Q546693,阿尼亚乡,,Anija Rural Municipality,爱沙尼亚市镇（2002-2017年间）,,former municipality of Estonia (2002–2017)
Q11187093,2013年日本,,2013 in Japan,,,Japan-related events during the year of 2013
Q11532892,林和人,,Kazuto Hayashi,,,Japanese announcer
Q1244790,奧代河,,Odet,法国河流,,river in France
Q1090933,谢河,,Chée,法国河流,,river in France
Q702925,阿魯河,,Arroux,法国河流,,river in France
Q678551,美国犹太人,,American Jews,族群,,community in the United States
Q573923,塞夫龍河,,Sevron,,,river in France
Q11246454,Sleepless Nights,,Sleepless Nights,Aimer 的專輯,,First studio album by Japanese singer Aimer
Q17017388,伯克·胡里,,,,,
Q15930235,李金早,,Li Jinzao,,,Chinese politician
Q13405328,2013年NBA總決賽,,2013 NBA Finals,NBA總決賽,,2013 basketball championship series
Q2082037,大溪地足球總會,,Tahitian Football Federation,,,governing body of association football in Tahitian
Q15894444,蜜汁火方,,,,,
Q946604,錫烏勒河,,Sioule,法国河流,,river in France
Q4643483,朝鲜人民军第766独立步兵团,,766th Independent Infantry Regiment,,,Korean War regiment
Q17025211,德清古桥群,,,,,
Q20720092,雅諾鯨屬,,Llanocetus,史前鬚鯨類群,,genus of mammals
Q1896299,札西秋宗,,Tashichho Dzong,,,Buddhist monastery and fortress in Bhutan
Q71768,特里尼奧河,,Trigno,,,river in Italy
Q15939853,仇保兴,,Qiu Baoxing,,,Chinese urban planner and politician
Q4772220,安東尼·卡莫納,,Anthony Carmona,,,President of Trinidad and Tobago
Q15933771,上马坎遗址,,,,,
Q11235927,东安省,,Tungan Province,,,
Q11359665,上田七本槍,,Seven Spears of Ueda,,,
Q3183352,梵旦哥,,Dirty Dango,,,American professional wrestler
Q16603569,義歸公主,,,,,
Q15926492,陶玄,,Tao Hsuan,,,Chinese politician
Q2213973,小行星18996,,18996 Torasan,小行星,астероид,asteroid
Q753170,博多式电报机,,Baudot code,,,pioneering five-bit character encodings
Q7100908,鄂尔多斯龟,,Ordosemys,,,genus of reptiles
Q5675534,小林春,,Haru Kobayashi,,,Japanese musician
Q3316953,九帶尖吻慈鯛,,Tropheops novemfasciatus,,,species of fish
Q16903837,阮氏玉鳳,,Nguyễn Thị Ngọc Phụng,,,
Q11514295,時光水滴,,,,,2004 single by Glay
Q3623900,阿羅內河,,Arrone,,,Italian river
Q6124203,贾瑞普公墓,,Jairampur cemetery,,,cemetery in India
Q15901414,白求恩医学院,,,维基媒体消歧义页,,Wikimedia disambiguation page
Q863569,零宽不连字,,zero-width non-joiner,8位元統一碼轉換格式控製字符創建一個連字符,,non-printing character
Q15932569,混炼,,,,,
Q117437120,扁鹊庙,,,,,
Q5364451,漢朝行政區劃,,list of provinces and commanderies of the Han dynasty,,,Wikimedia list article
Q13542845,阿歷士·高美斯,,Àlex Gómez,西班牙足球教练,,Spanish football manager
Q1266530,雙向器,Дуплексер,duplexer,,,device that allows bi-directional communication over a single path
Q1069932,海盆,,oceanic basin,,,geologic basin under the sea
Q907254,布倫博河,,Brembo,,,river in Italy
Q15899822,聚氯乙烯人造革,,,,,
Q11235236,德本製藥,,Tokuhon Corporation,,,
Q1736906,猫粮,,cat food,,,food for consumption by cats
Q16260779,張庭堅,,Zhang Tingjian,,,prince of Former Liang
Q13554471,余井塘,,Yu Ching-tang,,,Taiwanese politician
Q66986,吉普夫-上弗里克,Гипф-Оберфрик,Gipf-Oberfrick,,,"municipality in the canton of Aargau, Switzerland"
Q168496,卡洛·卡拉,,Carlo Carrà,義大利未來主義藝術家,,Italian painter (1881-1966)
Q66442,韋夫林斯維爾,Вёльфлинсвиль,Wölflinswil,,,municipality in the canton of Aargau in Switzerland
Q15934946,坐禪三昧經,,,,,
Q7847787,伊斯坦布爾特朗普大廈,,Trump Towers Istanbul,,,Towers in Istanbul
Q7267598,祁韵士,,Qi Yunshi,,,"Chinese official, historian"
Q15908354,福建土楼列表,,,维基媒体列表条目,,Wikimedia list article
Q16926224,紅嶺路,,,,,
Q66436,萊格萊布,,Le Glèbe,,,village und former municipality in Gibloux in the canton of Fribourg in Switzerland
Q7062149,坐視要管,,Not On Our Watch Project,,,organization
Q17022828,南昌县博物馆,,Nanchang County Museum,,,
Q781169,變形金剛：賽博坦殞落,,Transformers: Fall of Cybertron,,,2012 video game
Q206214,安菲特律翁,,Amphitryon,,,"Figure in Greek mythology, husband of Alcmene"
Q68449,阿羅尼奧,,Arogno,,,"municipality in the canton of Ticino, Switzerland"
Q66731,伯克滕,Бёктен,Böckten,,,"municipality in the canton of Basel-Landschaft, Switzerland"
Q68005,拉維扎拉,,Lavizzara,,,"municipality in the canton of Ticino, Switzerland"
Q67969,格蘭賈,,Grancia,,,"municipality in the canton of Ticino, Switzerland"
Q2266315,變色普提魚,,Bodianus solatus,,,species of fish
Q445900,米莱娜·杜奇科娃,,Milena Duchková,,,Czech doctor and Olympic diver
Q505852,麦诺森法案,,Magnuson Act,,,US Congress Act of 1943 regarding immigration from China
Q246529,松山博明,,Hiroaki Matsuyama,,,Japanese association football player and manager
Q1091970,中込正行,,Masayuki Nakagomi,,,Japanese association football player
Q375767,米奇·里奇蒙德,,Mitch Richmond,美國籃球運動員,,basketball player
Q1752990,苏格拉底之死,,The Death of Socrates,,,painting by Jacques-Louis David
Q3309636,佐佐木仁,,Hitoshi Sasaki,,,Japanese association football player (born 1973)
Q311349,瓦西里·别列祖茨基,Василий Березуцкий,Vasili Berezutski,,,Russian footballer
Q11301381,手机刑警钱形爱,,,,,
Q15890867,望江楼 (消歧义),,,维基媒体消歧义页,,Wikimedia disambiguation page
Q16603273,蛇节,,She Jie,,,
Q230639,奥斯特拉西亚的布伦希尔德,,Brunhilda of Austrasia,,,Queen of Austrasia
Q202027,短號,,cornet,銅管樂器,,musical instrument
Q65883,上巴爾姆,Обербальм,Oberbalm,,,"municipality in the canton of Bern, Switzerland"
Q67546,哈格內克,Хагнек,Hagneck,,,municipality in the canton of Bern in Switzerland
Q1805059,鲁德勒布勒亚格县,,Rudraprayag district,,,"district of Uttarakhand, India"
Q67830,默奇維爾,Мёчвиль,Mötschwil,,,"former municipality and current locality of Hindelbank in the canton of Bern, Switzerland"
Q15899317,先秦服飾,,,,,
Q14776733,T-ara Japan Tour 2013: Treasure Box,,T-ara Japan Tour 2013: Treasure Box,,,
Q120592,小行星1082,(1082) Пирола,1082 Pirola,小行星,астероид,asteroid
Q136641,小行星1162,,1162 Larissa,小行星,астероид,asteroid
Q136685,小行星1167,,1167 Dubiago,小行星,астероид,asteroid
Q139807,小行星1484,,1484 Postrema,小行星,астероид,asteroid
Q139916,小行星1490,,1490 Limpopo,小行星,астероид,asteroid
Q921795,小行星2304,,2304 Slavia,小行星,астероид,asteroid
Q747732,小行星2419,,2419 Moldavia,小行星,астероид,asteroid
Q147214,小行星2059,,2059 Baboquivari,小行星,астероид,asteroid of the Amor Type
Q136796,小行星1178,,1178 Irmela,小行星,астероид,asteroid
Q142625,小行星1704,,1704 Wachmann,小行星,астероид,asteroid
Q517913,小行星2767,,2767 Takenouchi,小行星,астероид,asteroid
Q150384,小行星2934,,2934 Aristophanes,小行星,астероид,asteroid
Q146565,小行星1987,,1987 Kaplan,小行星,астероид,main-belt asteroid
Q766224,小行星2964,,2964 Jaschek,小行星,астероид,asteroid
Q669655,小行星3017,,3017 Petrovič,小行星,астероид,asteroid
Q153021,小行星4219,,4219 Nakamura,小行星,астероид,asteroid
Q249283,小行星3370,,3370 Kohsai,小行星,астероид,asteroid
Q151142,小行星3258,,3258 Somnium,小行星,астероид,asteroid
Q150625,小行星3021,,3021 Lucubratio,小行星,астероид,asteroid
Q538806,小行星3310,,3310 Patsy,小行星,астероид,asteroid
Q152587,小行星4048,,4048 Samwestfall,小行星,астероид,asteroid
Q1046783,小行星3530,,3530 Hammel,小行星,астероид,asteroid
Q953419,小行星4510,,4510 Shawna,小行星,астероид,asteroid
Q906737,小行星3849,,3849 Incidentia,小行星,астероид,asteroid
Q949398,小行星3532,,3532 Tracie,小行星,астероид,asteroid
Q1044596,小行星4861,,4861 Nemirovskij,小行星,астероид,asteroid
Q710905,小行星6047,,(6047) 1991 TB1,小行星,астероид,minor planet
Q672971,小行星3864,,3864 Søren,小行星,астероид,asteroid
Q708979,小行星4627,,4627 Pinomogavero,小行星,астероид,Main Belt minor planet
Q655053,小行星4602,,4602 Heudier,小行星,астероид,asteroid
Q1082947,小行星5106,,5106 Mortensen,小行星,астероид,asteroid
Q732393,小行星5206,,5206 Kodomonomori,小行星,астероид,asteroid
Q154695,小行星4807,,4807 Noboru,小行星,астероид,asteroid
Q556077,小行星6273,,6273 Kiruna,小行星,астероид,asteroid
Q290280,小行星6340,,6340 Kathmandu,小行星,астероид,asteroid
Q619016,小行星6382,,(6382) 1988 EL,小行星,астероид,asteroid
Q338179,小行星5319,,5319 Petrovskaya,小行星,астероид,asteroid
Q557181,小行星6330,,6330 Koen,小行星,астероид,asteroid
Q619064,小行星6404,,6404 Vanavara,小行星,астероид,asteroid
Q618999,小行星6368,,6368 Richardmenendez,小行星,астероид,asteroid
Q619767,小行星6493,,6493 Cathybennett,小行星,астероид,asteroid
Q743572,小行星5478,,5478 Wartburg,小行星,астероид,asteroid
Q710449,小行星5512,,(5512) 1988 VD7,小行星,астероид,main-belt minor planet
Q1081550,小行星5765,,5765 Izett,小行星,астероид,asteroid
Q863835,絞刀,,reamer,,,rotary cutting tool
Q508467,托马斯·海尔默,Томас Хельмер,Thomas Helmer,德国足球运动员,,German footballer
Q543499,小行星7122,,7122 Iwasaki,小行星,астероид,asteroid
Q935926,小行星7292,,7292 Prosperin,小行星,астероид,asteroid
Q1081772,小行星5640,,5640 Yoshino,小行星,астероид,asteroid
Q985645,小行星7442,,7442 Inouehideo,小行星,астероид,asteroid
Q985954,小行星7488,,7488 Robertpaul,小行星,астероид,asteroid
Q753392,小行星7073,,7073 Rudbelia,小行星,астероид,asteroid
Q1031498,小行星7542,,7542 Johnpond,小行星,астероид,asteroid
Q376839,小行星7686,,7686 Wolfernst,小行星,астероид,asteroid
Q7340349,小行星7764,,(7764) 1991 AB,小行星,астероид,asteroid
Q1191645,小行星8204,,8204 Takabatake,小行星,астероид,asteroid
Q301756,小行星8635,,8635 Yuriosipov,小行星,астероид,asteroid
Q374044,小行星8821,,(8821) 1987 DP6,小行星,астероид,main-belt minor planet
Q1496409,小行星8419,,8419 Terumikazumi,小行星,астероид,asteroid
Q1313305,小行星8037,,(8037) 1993 HO1,小行星,астероид,near-Earth minor planet in the Amor group
Q1483602,小行星8748,,(8748) 1998 FV113,小行星,астероид,asteroid
Q784170,小行星8860,,8860 Rohloff,小行星,астероид,asteroid
Q542350,小行星9045,,(9045) 1991 PG15,小行星,астероид,main-belt minor planet
Q710201,小行星9157,,(9157) 1983 RB4,小行星,астероид,minor planet
Q1557598,小行星8894,,(8894) 1995 PV,小行星,астероид,asteroid
Q735680,小行星8985,,8985 Tula,小行星,астероид,asteroid
Q191941,零插拔力插座,,zero-insertion-force connector,,,"electrical connector that requires very little force for insertion, often used for IC and CPU sockets"
Q4948506,小行星9335,,(9335) 1991 AA1,小行星,астероид,asteroid
Q711453,小行星9601,,(9601) 1991 UE3,小行星,астероид,minor planet
Q709976,小行星9738,,(9738) 1987 DF6,小行星,астероид,minor planet
Q712355,小行星9752,,(9752) 1990 QZ1,小行星,астероид,minor planet
Q691849,小行星9198,,9198 Sasagamine,小行星,астероид,asteroid
Q710783,小行星9787,,(9787) 1995 BA3,小行星,астероид,minor planet
Q711135,小行星9890,,(9890) 1995 SY2,小行星,астероид,minor planet
Q210564,米海尔七世,,Michael VII Doukas,,,Byzantine emperor
Q969949,小行星9945,,9945 Karinaxavier,小行星,астероид,asteroid
Q1483948,小行星9898,,9898 Yoshiro,小行星,астероид,asteroid
Q68442,申霍策維倫,Шёнхольцерсвилен,Schönholzerswilen,,,municipality in the canton of Thurgau in Switzerland
Q4384487,和田雄三,,Yuzo Wada,,,Japanese association football player
Q1047460,聯合警戒Online,,War Rock,,,2007 video game
Q367360,奥拉齐奥·真蒂莱斯基,,Orazio Gentileschi,,,Italian painter (1563–1639)
Q11530630,松平賴儀,,Matsudaira Yorinori,,,[松平頼儀] daimyo of the late Edo period; 8th lord of Takamatsu
Q15885748,卫星运载火箭 (消歧义),,,维基媒体消歧义页,,Wikimedia disambiguation page
Q16078338,1991年臺灣,,1991 in Taiwan,,,Taiwan-related events during the year of 1991
Q15933369,盐洛高速公路,,G1516 Yancheng–Luoyang Expressway,,,"expressway in Jiangsu, Anhui and Henan provinces, China"
Q3014295,皇家公主號,,Royal Princess,,,cruise ship operated by Princess Cruises
Q15870175,灰鼠蛇 (消歧義),,,维基媒体消歧义页,,Wikimedia disambiguation page
Q630397,薩巴爾馬蒂河,,Sabarmati,,,river of India
Q2302586,艾克斯-马赛大学,,Aix-Marseille University,法国大学,,"French public university located in Provence, founded in 2012 from the merger of Université Aix Marseille I, Aix Marseille II and Aix Marseille III"
Q3307927,波吉亞家族,,The Family,,,novel by Mario Puzo
Q1111000,瓦尔斯,,Vars,法国上阿尔卑斯省市镇,,"commune in Hautes-Alpes, France"
Q273062,船尾,,stern,,,back or aft-most part of a ship or boat
Q45540173,堵昇,,Du Sheng,,,Ming dynasty person CBDB = 199731
Q14948034,打邦河,,Dabang River,中华人民共和国河流,,river in People's Republic of China
Q17025379,新华联,,"MACROLINK REAL ESTATE CO., LTD.",,,
Q15904975,中国中央电视台体育赛事频道,,CCTV-5+,2013年开播的一个电视频道,,sports channel started in 2013
Q2364050,澳洲褶唇魚,,Labropsis australis,,,species of fish
Q367344,昆蒂縣,,Khunti district,,,"district of Jharkhand, India"
Q382652,牛津縣 (安大略省),,Oxford County,,,"regional municipality in Ontario, Canada"
Q313535,亚历山大·斯塔姆博利伊斯基,,Aleksandar Stamboliyski,,,Bulgarian prime minister (1879-1923)
Q15896600,莫陶,,Mo Tao,,,Qing dynasty politician
Q606343,阿格拉縣,,Agra district,,,"district of Uttar Pradesh, India"
Q6919647,巴約訥山,,Mount Bayonne,,,"mountain on Alexander Island, Antarctica"
Q14534331,拉鲁湿地国家级自然保护区,,Lalu Wetlands National Nature Preserve,,,wetland of Lhasa (Tibet)
Q6400619,卡多日追,,Khardo Hermitage,,,"building in Khardo Hermitage, China"
Q668616,內貢博,,Negombo,,,city in Sri Lanka
Q17025565,最善房地產投資信託,,,,,
Q1968584,SIG SG 540突擊步槍,,SIG SG 540,,,Swiss assault rifle
Q38515,格陵蘭犬,,Greenland Dog,,,dog breed
Q444737,菲利浦·賀森拿,,Philipp Hosiner,,,Austrian footballer
